molecule_chembl_id,canonical_smiles,standard_value,standard_value_M,pIC50
CHEMBL485253,CCC(CO)NC(=O)[C@@H]1C=C2c3cccc4c3c(cn4C)C[C@H]2N(C)C1,912.01,9.1201e-07,6.040000399696793
CHEMBL541828,Cc1cc([N+](=O)[O-])ccc1NC(=N)Nc1ccc([N+](=O)[O-])cc1C.Cl,760.0,7.6e-07,6.119186407719209
CHEMBL553347,Cl.N=C(Nc1ccccc1I)NC1C2CC3CC(C2)CC1C3,5.2,5.2e-09,8.2839966563652
CHEMBL78637,Cc1ccccc1/N=C(/N)Nc1c(C)cccc1C,70.0,7e-08,7.154901959985743
CHEMBL58601,Fc1ccc(SCCCN2CCN(c3ncc(F)cn3)CC2)cc1,51.0,5.1e-08,7.292429823902063
CHEMBL538036,CCc1cccc(NC(=N)Nc2ccccc2CC)c1.Cl,18.5,1.85e-08,7.732828271596986
CHEMBL38983,CN(C)CCCOc1ccc2oc(-c3ccccc3)cc(=O)c2c1,408.0,4.08e-07,6.38933983691012
CHEMBL37150,O=c1cc(C2CCCC2)oc2ccc(OCCCCCCN3CCC(O)CC3)cc12,51.0,5.1e-08,7.292429823902063
CHEMBL82246,N=C(Nc1ccccc1-c1ccccc1)Nc1cccc2ccccc12,935.0,9.35e-07,6.029188389127482
CHEMBL81867,N=C(NC1CCCCC1)NC1CCCCC1,71.0,7.1e-08,7.1487416512809245
CHEMBL288466,O=c1cc(C2CCCC2)oc2ccc(OCCCCCCN3CCCCC3)cc12,26.0,2.6e-08,7.585026652029182
CHEMBL538289,CCc1cccc(N(C)C(=N)Nc2ccccc2C(C)C)c1.Cl,362.0,3.6200000000000004e-07,6.441291429466834
CHEMBL545447,Cl.O=[N+]([O-])c1ccc(CCN2CC[C@H]3c4ccccc4CC[C@H]3C2)cc1,3.467,3.467e-09,8.460046158343603
CHEMBL1744009,Cl.c1ccc(CCN2CCC3(CCCc4ccccc43)CC2)cc1,5.012,5.012e-09,8.299988937677888
CHEMBL2391372,O=C(CN1CCNCC1)N[C@H]1C[C@@H]2CC[C@H]1C2,86800.0,8.680000000000001e-05,4.061480274823508
CHEMBL2391380,CCCCCN(C)C(=O)CN1CCCNCC1,15200.0,1.52e-05,4.818156412055227
CHEMBL545076,CCc1cccc(N(C)C(=N)N(C)c2cc(CC)ccc2Cl)c1.Cl,241.0,2.41e-07,6.617982957425132
CHEMBL250699,COc1cc(NC(=O)c2ccc(-c3ccc(Cl)cc3)o2)cc(OC)c1,10000.0,1e-05,5.0
CHEMBL118288,c1ccc(CN2C3CCC2c2c([nH]c4ccccc24)C3)cc1,345.0,3.450000000000001e-07,6.462180904926726
CHEMBL556043,CCc1cccc(NC(=N)Nc2ccccc2C)c1.Cl,10.8,1.08e-08,7.966576244513051
CHEMBL544078,Cl.NC1Cc2ccccc2C(c2ccccc2)C1,3305.0,3.305e-06,5.480828536178341
CHEMBL555581,CCCCN1CCC2c3ccccc3CCCC2C1.Cl,2.138,2.138e-09,8.669992299127241
CHEMBL607275,CN(C(=O)COc1ccc(Cl)c(Cl)c1)[C@@H]1CCCC[C@@H]1N1CCCC1,110.0,1.1e-07,6.958607314841775
CHEMBL284237,C[C@]12N[C@H](Cc3ccccc31)c1ccccc12,10000.0,1e-05,5.0
CHEMBL275742,CC(C)NC[C@@H](O)COc1cccc2ccccc12,3974.0,3.974e-06,5.400772137226204
CHEMBL63508,C/C(=N\C1CC2CCC1C2)Nc1ccccc1C,9.0,9.000000000000001e-09,8.045757490560675
CHEMBL148055,COc1cccc2c1CCC=C2CCCN1CCN(c2ccccc2)CC1,54.4,5.4400000000000004e-08,7.26440110030182
CHEMBL381653,O=C1[C@@H]2Cc3ccccc3CN2C(=O)N1CCCN1CCCCC1,21.5,2.15e-08,7.667561540084395
CHEMBL331500,c1ccc(CCCCN2C3CCC2c2c(n(Cc4ccccc4)c4ccccc24)C3)cc1,267.0,2.67e-07,6.573488738635425
CHEMBL554054,CCc1cccc(N(C)C(=N)Nc2cccc3ccccc23)c1.Cl,2535.0,2.5350000000000003e-06,5.596022036330645
CHEMBL383147,c1ccc2c(c1)C[C@H]1CN(CCN3CCCCC3)CN1C2,77.0,7.7e-08,7.113509274827518
CHEMBL51,O=C(c1ccc(F)cc1)C1CCN(CCn2c(=O)[nH]c3ccccc3c2=O)CC1,1.0,1e-09,9.0
CHEMBL12089,COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2.[Cl-],1289.0,1.289e-06,5.889747082646597
CHEMBL57606,OC(CCCN1CCN(c2ncc(F)cn2)CC1)C1CCCCC1,12.0,1.2000000000000002e-08,7.920818753952375
CHEMBL606835,CN(C(=O)Cc1ccc([N+](=O)[O-])cc1)[C@@H]1CCCC[C@@H]1N1CCCC1,2374.0,2.374e-06,5.624519285381427
CHEMBL301867,CN(C(=O)Cc1ccc(Cl)c(Cl)c1)[C@@H]1CCCC[C@@H]1N1CCCC1,194.0,1.9400000000000002e-07,6.7121982700697735
CHEMBL286353,CN(C)CCCCCCCCOc1ccc2oc(-c3ccccc3)cc(=O)c2c1,227.0,2.27e-07,6.6439741428068775
CHEMBL140054,C[C@@H]1CN(CCOC(c2ccccc2)c2ccccc2)[C@@H](C)CN1CCCc1ccccc1,8.6,8.600000000000001e-09,8.065501548756432
CHEMBL78356,Cc1cc(N)ccc1/N=C(/N)Nc1cccc(O)c1,962.0,9.62e-07,6.016824927962187
CHEMBL143648,CNCCN(C)CCOC(c1ccccc1)c1ccccc1,231.0,2.3100000000000002e-07,6.636388020107856
CHEMBL1743997,C=CCN1CCC2(CCCc3ccccc32)CC1.Cl,18.2,1.82e-08,7.739928612014925
CHEMBL555606,CCc1cccc(N(C)C(=N)Nc2cc(CC)cc(SC)c2Cl)c1.Cl,178.0,1.78e-07,6.749579997691106
CHEMBL312806,C1CCC(NC(=NC2CC2)NC2CCCCC2)CC1,513.0,5.13e-07,6.289882634888183
CHEMBL545687,CCCCN1CCC2c3ccccc3CC2C1.Cl,10.96,1.0960000000000002e-08,7.96018944585165
CHEMBL62770,CC(C)=CCN1CCC2(CCCc3ccccc32)CC1,1.047,1.047e-09,8.980053318321158
CHEMBL2391360,CCC(=O)N1CCN(CC(=O)NCC(C)CC)CC1,100000.0,0.0001,4.0
CHEMBL77675,N=C(Nc1ccccc1)Nc1ccccc1,397.0,3.97e-07,6.401209493236885
CHEMBL607333,CN(C(=O)COc1ccc(Cl)cc1Cl)[C@@H]1CCCC[C@@H]1N1CCCC1,76.0,7.6e-08,7.119186407719209
CHEMBL289896,O=c1cc(-c2ccccc2)oc2ccc(OCCCCCCN3CCC(O)(c4ccc(Cl)cc4)CC3)cc12,109.0,1.0900000000000001e-07,6.962573502059376
CHEMBL75880,C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1,2599.2,2.5992e-06,5.585160301663073
CHEMBL2391354,O=C(CN1CCN2CCCCC2C1)NC1CCCCC1,270.0,2.7e-07,6.568636235841013
CHEMBL366163,CN(C)CCCN1CCN(CCN2C(=O)[C@@H]3Cc4ccccc4CN3C2=O)CC1,1000.0,1.0000000000000002e-06,6.0
CHEMBL195303,O=C1[C@@H]2CCCCN2C(=O)N1CCN1CCCCC1,1000.0,1.0000000000000002e-06,6.0
CHEMBL2391357,CN1CCCN(CC(=O)NC2CCCCC2)CC1,3250.0,3.25e-06,5.488116639021126
CHEMBL92484,CCc1cccc(N(C)C(=N)Nc2cccc3ccccc23)c1,2540.0,2.54e-06,5.5951662833800615
CHEMBL607156,CN(C(=O)OCc1ccccc1)[C@@H]1CCCC[C@@H]1N1CCCC1,928.0,9.28e-07,6.032452023781138
CHEMBL310170,CCc1ccccc1NC(=N)Nc1ccccc1CC,14.0,1.4e-08,7.853871964321762
CHEMBL2391351,CCCCCN(C)C(=O)CN1CCNC2(CCCCC2)C1,210.0,2.1e-07,6.6777807052660805
