action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,,147934,[],CHEMBL803878,Binding affinity for sigma opioid receptor using [3H](+)-3-PPP as radioligand,B,,,BAO_0000190,BAO_0000357,single protein format,CN(C(=O)CSc1ccccc1)[C@@H]1CCCC[C@@H]1N1CCCC1,,,CHEMBL1125016,J Med Chem,1990.0,"{'bei': '20.15', 'le': '0.40', 'lle': '3.06', 'sei': '28.45'}",CHEMBL607273,,CHEMBL607273,6.70,0,http://www.openphacts.org/units/Nanomolar,197384,=,1,1,=,,IC50,nM,,200.0,CHEMBL287,Homo sapiens,Sigma opioid receptor,9606,,,IC50,nM,UO_0000065,,200.0
,,149195,[],CHEMBL803878,Binding affinity for sigma opioid receptor using [3H](+)-3-PPP as radioligand,B,,,BAO_0000190,BAO_0000357,single protein format,CN(CCc1ccc(Cl)c(Cl)c1)C1CCCCC1N1CCCC1,,,CHEMBL1125016,J Med Chem,1990.0,"{'bei': '24.48', 'le': '0.52', 'lle': '3.83', 'sei': '134.24'}",CHEMBL2303661,,CHEMBL2303661,8.70,0,http://www.openphacts.org/units/Nanomolar,197340,=,1,1,=,,IC50,nM,,2.0,CHEMBL287,Homo sapiens,Sigma opioid receptor,9606,,,IC50,nM,UO_0000065,,2.0
,,150326,[],CHEMBL803878,Binding affinity for sigma opioid receptor using [3H](+)-3-PPP as radioligand,B,,,BAO_0000190,BAO_0000357,single protein format,CN(C(=O)Cc1ccc(Cl)cc1Cl)[C@@H]1CCCC[C@@H]1N1CCCC1,,,CHEMBL1125016,J Med Chem,1990.0,"{'bei': '17.75', 'le': '0.37', 'lle': '2.16', 'sei': '27.84'}",CHEMBL607450,,CHEMBL607450,6.56,0,http://www.openphacts.org/units/Nanomolar,197356,=,1,1,=,,IC50,nM,,278.0,CHEMBL287,Homo sapiens,Sigma opioid receptor,9606,,,IC50,nM,UO_0000065,,278.0
,,150329,[],CHEMBL803878,Binding affinity for sigma opioid receptor using [3H](+)-3-PPP as radioligand,B,,,BAO_0000190,BAO_0000357,single protein format,CN(/C(S)=N/c1ccc(Cl)c(Cl)c1)[C@@H]1CCCC[C@@H]1N1CCCC1,,,CHEMBL1125016,J Med Chem,1990.0,"{'bei': '14.20', 'le': '0.31', 'lle': '0.24', 'sei': '29.12'}",CHEMBL607211,,CHEMBL607211,5.49,0,http://www.openphacts.org/units/Nanomolar,197387,=,1,1,=,,IC50,nM,,3267.0,CHEMBL287,Homo sapiens,Sigma opioid receptor,9606,,,IC50,nM,UO_0000065,,3267.0
,,150332,[],CHEMBL803878,Binding affinity for sigma opioid receptor using [3H](+)-3-PPP as radioligand,B,,,BAO_0000190,BAO_0000357,single protein format,CN(C(=O)c1ccc(Cl)c(Cl)c1)[C@H]1CCCC[C@H]1N1CCCC1,,,CHEMBL1125016,J Med Chem,1990.0,"{'bei': '14.42', 'le': '0.30', 'lle': '0.65', 'sei': '21.75'}",CHEMBL607276,,CHEMBL607276,5.12,0,http://www.openphacts.org/units/Nanomolar,197369,=,1,1,=,,IC50,nM,,7551.0,CHEMBL287,Homo sapiens,Sigma opioid receptor,9606,,,IC50,nM,UO_0000065,,7551.0
,,150335,[],CHEMBL803878,Binding affinity for sigma opioid receptor using [3H](+)-3-PPP as radioligand,B,,,BAO_0000190,BAO_0000357,single protein format,CN(C(=O)Cc1cccs1)[C@H]1CCCC[C@H]1N1CCCC1,,,CHEMBL1125016,J Med Chem,1990.0,"{'bei': '18.99', 'le': '0.38', 'lle': '2.66', 'sei': '24.71'}",CHEMBL606887,,CHEMBL606887,5.82,0,http://www.openphacts.org/units/Nanomolar,197364,=,1,1,=,,IC50,nM,,1516.0,CHEMBL287,Homo sapiens,Sigma opioid receptor,9606,,,IC50,nM,UO_0000065,,1516.0
,,151613,[],CHEMBL803878,Binding affinity for sigma opioid receptor using [3H](+)-3-PPP as radioligand,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cc(CC(=O)N(C)[C@@H]2CCCC[C@@H]2N2CCCC2)cc(OC)c1OC,,,CHEMBL1125016,J Med Chem,1990.0,"{'bei': '16.70', 'le': '0.32', 'lle': '3.40', 'sei': '12.72'}",CHEMBL607448,,CHEMBL607448,6.52,0,http://www.openphacts.org/units/Nanomolar,197352,=,1,1,=,,IC50,nM,,302.0,CHEMBL287,Homo sapiens,Sigma opioid receptor,9606,,,IC50,nM,UO_0000065,,302.0
,,154034,[],CHEMBL803878,Binding affinity for sigma opioid receptor using [3H](+)-3-PPP as radioligand,B,,,BAO_0000190,BAO_0000357,single protein format,CN(C(=O)c1cccc2ccccc12)[C@H]1CCCC[C@H]1N1CCCC1,,,CHEMBL1125016,J Med Chem,1990.0,"{'bei': '16.60', 'le': '0.31', 'lle': '1.27', 'sei': '23.72'}",CHEMBL606891,,CHEMBL606891,5.59,0,http://www.openphacts.org/units/Nanomolar,197368,=,1,1,=,,IC50,nM,,2593.0,CHEMBL287,Homo sapiens,Sigma opioid receptor,9606,,,IC50,nM,UO_0000065,,2593.0
,,155148,[],CHEMBL803878,Binding affinity for sigma opioid receptor using [3H](+)-3-PPP as radioligand,B,,,BAO_0000190,BAO_0000357,single protein format,CN(C(=O)Cc1cccc([N+](=O)[O-])c1)[C@@H]1CCCC[C@@H]1N1CCCC1,,,CHEMBL1125016,J Med Chem,1990.0,"{'bei': '16.77', 'le': '0.32', 'lle': '2.79', 'sei': '8.69'}",CHEMBL607392,,CHEMBL607392,5.79,0,http://www.openphacts.org/units/Nanomolar,197351,=,1,1,=,,IC50,nM,,1609.0,CHEMBL287,Homo sapiens,Sigma opioid receptor,9606,,,IC50,nM,UO_0000065,,1609.0
,,156519,[],CHEMBL803878,Binding affinity for sigma opioid receptor using [3H](+)-3-PPP as radioligand,B,,,BAO_0000190,BAO_0000357,single protein format,CN(C(=O)COc1cc(Cl)c(Cl)cc1Cl)[C@@H]1CCCC[C@@H]1N1CCCC1,,,CHEMBL1125016,J Med Chem,1990.0,"{'bei': '16.42', 'le': '0.36', 'lle': '2.00', 'sei': '21.03'}",CHEMBL607210,,CHEMBL607210,6.89,0,http://www.openphacts.org/units/Nanomolar,197379,=,1,1,=,,IC50,nM,,128.0,CHEMBL287,Homo sapiens,Sigma opioid receptor,9606,,,IC50,nM,UO_0000065,,128.0
,,157714,[],CHEMBL803878,Binding affinity for sigma opioid receptor using [3H](+)-3-PPP as radioligand,B,,,BAO_0000190,BAO_0000357,single protein format,CN(C(=O)Cc1cc(Cl)c(Cl)cc1[N+](=O)[O-])[C@@H]1CCCC[C@@H]1N1CCCC1,,,CHEMBL1125016,J Med Chem,1990.0,"{'bei': '12.61', 'le': '0.26', 'lle': '0.92', 'sei': '7.84'}",CHEMBL607452,,CHEMBL607452,5.22,0,http://www.openphacts.org/units/Nanomolar,197354,=,1,1,=,,IC50,nM,,5952.0,CHEMBL287,Homo sapiens,Sigma opioid receptor,9606,,,IC50,nM,UO_0000065,,5952.0
,,157720,[],CHEMBL803878,Binding affinity for sigma opioid receptor using [3H](+)-3-PPP as radioligand,B,,,BAO_0000190,BAO_0000357,single protein format,CN(C(=O)CCCOc1ccc(Cl)cc1Cl)[C@H]1CCCC[C@H]1N1CCCC1,,,CHEMBL1125016,J Med Chem,1990.0,"{'bei': '15.43', 'le': '0.32', 'lle': '1.36', 'sei': '19.46'}",CHEMBL606889,,CHEMBL606889,6.38,0,http://www.openphacts.org/units/Nanomolar,197366,=,1,1,=,,IC50,nM,,418.0,CHEMBL287,Homo sapiens,Sigma opioid receptor,9606,,,IC50,nM,UO_0000065,,418.0
,,158935,[],CHEMBL803878,Binding affinity for sigma opioid receptor using [3H](+)-3-PPP as radioligand,B,,,BAO_0000190,BAO_0000357,single protein format,CN(C(=O)Cc1ccc([N+](=O)[O-])cc1)[C@@H]1CCCC[C@@H]1N1CCCC1,,,CHEMBL1125016,J Med Chem,1990.0,"{'bei': '16.28', 'le': '0.31', 'lle': '2.62', 'sei': '8.43'}",CHEMBL606835,,CHEMBL606835,5.62,0,http://www.openphacts.org/units/Nanomolar,197360,=,1,1,=,,IC50,nM,,2374.0,CHEMBL287,Homo sapiens,Sigma opioid receptor,9606,,,IC50,nM,UO_0000065,,2374.0
,,160044,[],CHEMBL803878,Binding affinity for sigma opioid receptor using [3H](+)-3-PPP as radioligand,B,,,BAO_0000190,BAO_0000357,single protein format,COc1cc(CCC(=O)N(C)[C@@H]2CCCC[C@@H]2N2CCCC2)cc(OC)c1OC,,,CHEMBL1125016,J Med Chem,1990.0,"{'bei': '13.78', 'le': '0.26', 'lle': '2.06', 'sei': '10.88'}",CHEMBL607213,,CHEMBL607213,5.57,0,http://www.openphacts.org/units/Nanomolar,197382,=,1,1,=,,IC50,nM,,2670.0,CHEMBL287,Homo sapiens,Sigma opioid receptor,9606,,,IC50,nM,UO_0000065,,2670.0
,,160047,[],CHEMBL803878,Binding affinity for sigma opioid receptor using [3H](+)-3-PPP as radioligand,B,,,BAO_0000190,BAO_0000357,single protein format,CN(C(=O)C1(c2ccccc2)CC1)[C@H]1CCCC[C@H]1N1CCCC1,,,CHEMBL1125016,J Med Chem,1990.0,"{'bei': '15.98', 'le': '0.30', 'lle': '1.64', 'sei': '22.16'}",CHEMBL606890,,CHEMBL606890,5.22,0,http://www.openphacts.org/units/Nanomolar,197367,=,1,1,=,,IC50,nM,,6058.0,CHEMBL287,Homo sapiens,Sigma opioid receptor,9606,,,IC50,nM,UO_0000065,,6058.0
,,161345,[],CHEMBL803878,Binding affinity for sigma opioid receptor using [3H](+)-3-PPP as radioligand,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccccc1CC(=O)N(C)[C@@H]1CCCC[C@@H]1N1CCCC1,,,CHEMBL1125016,J Med Chem,1990.0,"{'bei': '20.22', 'le': '0.38', 'lle': '3.58', 'sei': '20.38'}",CHEMBL606834,,CHEMBL606834,6.68,0,http://www.openphacts.org/units/Nanomolar,197359,=,1,1,=,,IC50,nM,,208.0,CHEMBL287,Homo sapiens,Sigma opioid receptor,9606,,,IC50,nM,UO_0000065,,208.0
,,162562,[],CHEMBL803878,Binding affinity for sigma opioid receptor using [3H](+)-3-PPP as radioligand,B,,,BAO_0000190,BAO_0000357,single protein format,CN(C(=O)Cc1c(Cl)cccc1Cl)[C@@H]1CCCC[C@@H]1N1CCCC1,,,CHEMBL1125016,J Med Chem,1990.0,"{'bei': '15.86', 'le': '0.33', 'lle': '1.46', 'sei': '24.88'}",CHEMBL606783,,CHEMBL606783,5.86,0,http://www.openphacts.org/units/Nanomolar,197355,=,1,1,=,,IC50,nM,,1385.0,CHEMBL287,Homo sapiens,Sigma opioid receptor,9606,,,IC50,nM,UO_0000065,,1385.0
