molecule_chembl_id,canonical_smiles,standard_value
CHEMBL338781,CCCCCCCC(N)Cc1ccc(OC)c(OCCc2ccccc2)c1,420.0
CHEMBL128799,CCCNC(CCC)Cc1ccc(OC)c(OCCc2ccccc2)c1,4.5
CHEMBL541091,CCCCC(Cc1ccc(OC)c(OCCc2ccccc2)c1)NCCC.Cl,210.0
CHEMBL553962,CCCCCC(Cc1ccc(OC)c(OCCc2ccccc2)c1)NCCC.Cl,1.5
CHEMBL64511,c1ccc(CN2CCC3(CCCc4ccccc43)CC2)nc1,11.22
CHEMBL1744014,Cl.c1ccc(CCN2CCC3(CCc4ccccc43)CC2)cc1,2.754
CHEMBL1743991,Cl.c1ccc2c(c1)CCCC21CCN(CC2CCCO2)CC1,5.495
CHEMBL545760,CCCNC(C)Cc1ccc(OC)c(OCCc2ccccc2)c1.Cl,10.0
CHEMBL128717,CCCN(CCC)C(CC)Cc1ccc(OC)c(OCCc2ccccc2)c1,5.7
CHEMBL128860,CCCCC(Cc1ccc(OC)c(OCCc2ccccc2)c1)NCCC,2.1
CHEMBL1788383,Cl.c1ccc(CN2CCC3(CCc4ccccc43)CC2)cc1,0.7244
CHEMBL542470,CCCCCC(Cc1ccc(OC)c(OCCc2ccccc2)c1)N(CCC)CCC.Cl,30.0
CHEMBL1744001,CCCCCCN1CCC2(CCCc3ccccc32)CC1.Cl,2.884
CHEMBL1743997,C=CCN1CCC2(CCCc3ccccc32)CC1.Cl,18.2
CHEMBL1744010,CCCCN1CCC2(CCCCc3ccccc32)CC1.Cl,4.786
CHEMBL1743995,Cl.Clc1ccc(CN2CCC3(CCCc4ccccc43)CC2)cc1,6.761
CHEMBL11311,COc1ccc(CCN2CCCC2)cc1OCCc1ccccc1.O=C(O)C(=O)O,110.0
CHEMBL127720,CCCN(CCC)C(C)Cc1ccc(OC)c(OCCc2ccccc2)c1,12.0
CHEMBL1743994,Cl.c1csc(CN2CCC3(CCCc4ccccc43)CC2)c1,6.31
CHEMBL1744013,Cl.Oc1ccc2c(c1)C1(CCC2)CCN(Cc2ccccc2)CC1,69.18
CHEMBL542784,COc1ccc(CCN)cc1OCCc1ccccc1.Cl,1000.0
CHEMBL1744004,Cl.c1ccc(CN2CCC3(CCc4ccccc43)CC2)nc1,16.22
CHEMBL1256916,Cl.c1ccc(CN2CCC3(CCCc4ccccc43)CC2)cc1,3.802
CHEMBL339253,CCCCCCC(N)Cc1ccc(OC)c(OCCc2ccccc2)c1,170.0
CHEMBL127899,CCCNC(CC)Cc1ccc(OC)c(OCCc2ccccc2)c1,8.0
CHEMBL540331,CCCNC(CCC(C)C)Cc1ccc(OC)c(OCCc2ccccc2)c1.Cl,1.8
CHEMBL1788382,CC(C)=CCN1CCC2(CCc3ccccc32)CC1.Cl,1.175
CHEMBL1744008,Cl.c1ccc2c(c1)CCCC21CCN(CC2CC2)CC1,10.23
CHEMBL1744011,Cl.c1ccc(CN2CCC3(CCCCc4ccccc43)CC2)cc1,6.761
CHEMBL553841,CCCC(N)Cc1ccc(OC)c(OCCc2ccccc2)c1.Cl,330.0
CHEMBL128998,CCCCCCCCC(Cc1ccc(OC)c(OCCc2ccccc2)c1)N(CCC)CCC,1000.0
CHEMBL341508,CCCCCCCCC(N)Cc1ccc(OC)c(OCCc2ccccc2)c1,1000.0
